,User-ID,ISBN,Book-Title,Book-Rating,Book-Author,Year-Of-Publication
348,254,804106304,The Joy Luck Club,0,Amy Tan,1994
353,2891,804106304,The Joy Luck Club,7,Amy Tan,1994
356,4017,804106304,The Joy Luck Club,0,Amy Tan,1994
358,5903,804106304,The Joy Luck Club,0,Amy Tan,1994
359,6251,804106304,The Joy Luck Club,0,Amy Tan,1994
360,6323,804106304,The Joy Luck Club,0,Amy Tan,1994
361,6575,804106304,The Joy Luck Club,9,Amy Tan,1994
362,7346,804106304,The Joy Luck Club,9,Amy Tan,1994
366,8253,804106304,The Joy Luck Club,0,Amy Tan,1994
367,9747,804106304,The Joy Luck Club,0,Amy Tan,1994
369,11676,804106304,The Joy Luck Club,0,Amy Tan,1994
501,1848,786868716,The Five People You Meet in Heaven,10,Mitch Albom,2003
502,2110,786868716,The Five People You Meet in Heaven,0,Mitch Albom,2003
503,4017,786868716,The Five People You Meet in Heaven,0,Mitch Albom,2003
504,4385,786868716,The Five People You Meet in Heaven,0,Mitch Albom,2003
506,6251,786868716,The Five People You Meet in Heaven,0,Mitch Albom,2003
507,6563,786868716,The Five People You Meet in Heaven,10,Mitch Albom,2003
508,7125,786868716,The Five People You Meet in Heaven,10,Mitch Albom,2003
509,7283,786868716,The Five People You Meet in Heaven,0,Mitch Albom,2003
510,7346,786868716,The Five People You Meet in Heaven,7,Mitch Albom,2003
511,7915,786868716,The Five People You Meet in Heaven,10,Mitch Albom,2003
512,8245,786868716,The Five People You Meet in Heaven,0,Mitch Albom,2003
513,8782,786868716,The Five People You Meet in Heaven,9,Mitch Albom,2003
515,10314,786868716,The Five People You Meet in Heaven,0,Mitch Albom,2003
516,10447,786868716,The Five People You Meet in Heaven,7,Mitch Albom,2003
518,11676,786868716,The Five People You Meet in Heaven,9,Mitch Albom,2003
623,3363,60976845,Little Altars Everywhere: A Novel,0,Rebecca Wells,1996
626,6251,60976845,Little Altars Everywhere: A Novel,0,Rebecca Wells,1996
628,6563,60976845,Little Altars Everywhere: A Novel,0,Rebecca Wells,1996
629,6575,60976845,Little Altars Everywhere: A Novel,0,Rebecca Wells,1996
630,7125,60976845,Little Altars Everywhere: A Novel,0,Rebecca Wells,1996
631,7158,60976845,Little Altars Everywhere: A Novel,0,Rebecca Wells,1996
634,9747,60976845,Little Altars Everywhere: A Novel,0,Rebecca Wells,1996
635,10314,60976845,Little Altars Everywhere: A Novel,9,Rebecca Wells,1996
636,10447,60976845,Little Altars Everywhere: A Novel,8,Rebecca Wells,1996
638,11676,60976845,Little Altars Everywhere: A Novel,0,Rebecca Wells,1996
715,2276,671461494,The Hitchhiker's Guide to the Galaxy,0,Douglas Adams,1982
718,11676,671461494,The Hitchhiker's Guide to the Galaxy,7,Douglas Adams,1982
730,11676,330332775,Bridget Jones's Diary,0,Helen Fielding,1997
785,243,60915544,The Bean Trees,10,Barbara Kingsolver,1989
787,882,60915544,The Bean Trees,0,Barbara Kingsolver,1989
788,1435,60915544,The Bean Trees,10,Barbara Kingsolver,1989
789,4017,60915544,The Bean Trees,8,Barbara Kingsolver,1989
793,6251,60915544,The Bean Trees,0,Barbara Kingsolver,1989
794,6563,60915544,The Bean Trees,9,Barbara Kingsolver,1989
795,6575,60915544,The Bean Trees,0,Barbara Kingsolver,1989
796,7158,60915544,The Bean Trees,0,Barbara Kingsolver,1989
797,7286,60915544,The Bean Trees,0,Barbara Kingsolver,1989
798,8245,60915544,The Bean Trees,0,Barbara Kingsolver,1989
799,8253,60915544,The Bean Trees,9,Barbara Kingsolver,1989
801,10447,60915544,The Bean Trees,9,Barbara Kingsolver,1989
803,11601,60915544,The Bean Trees,10,Barbara Kingsolver,1989
804,11676,60915544,The Bean Trees,0,Barbara Kingsolver,1989
806,243,60977493,The God of Small Things,7,Arundhati Roy,1998
812,7346,60977493,The God of Small Things,0,Arundhati Roy,1998
814,8253,60977493,The God of Small Things,8,Arundhati Roy,1998
815,8454,60977493,The God of Small Things,8,Arundhati Roy,1998
818,11676,60977493,The God of Small Things,0,Arundhati Roy,1998
829,243,316096199,Lucky : A Memoir,0,Alice Sebold,2002
831,3363,316096199,Lucky : A Memoir,10,Alice Sebold,2002
832,4017,316096199,Lucky : A Memoir,10,Alice Sebold,2002
834,5903,316096199,Lucky : A Memoir,0,Alice Sebold,2002
835,6323,316096199,Lucky : A Memoir,0,Alice Sebold,2002
836,6563,316096199,Lucky : A Memoir,0,Alice Sebold,2002
837,7158,316096199,Lucky : A Memoir,0,Alice Sebold,2002
838,7346,316096199,Lucky : A Memoir,8,Alice Sebold,2002
839,11676,316096199,Lucky : A Memoir,10,Alice Sebold,2002
840,277427,316096199,Lucky : A Memoir,0,Alice Sebold,2002
872,243,316666343,The Lovely Bones: A Novel,0,Alice Sebold,2002
874,638,316666343,The Lovely Bones: A Novel,10,Alice Sebold,2002
879,2358,316666343,The Lovely Bones: A Novel,0,Alice Sebold,2002
880,2766,316666343,The Lovely Bones: A Novel,9,Alice Sebold,2002
885,3363,316666343,The Lovely Bones: A Novel,0,Alice Sebold,2002
887,4017,316666343,The Lovely Bones: A Novel,10,Alice Sebold,2002
894,5903,316666343,The Lovely Bones: A Novel,0,Alice Sebold,2002
896,6543,316666343,The Lovely Bones: A Novel,0,Alice Sebold,2002
897,6563,316666343,The Lovely Bones: A Novel,0,Alice Sebold,2002
898,6575,316666343,The Lovely Bones: A Novel,0,Alice Sebold,2002
900,7158,316666343,The Lovely Bones: A Novel,0,Alice Sebold,2002
901,7283,316666343,The Lovely Bones: A Novel,0,Alice Sebold,2002
902,7346,316666343,The Lovely Bones: A Novel,0,Alice Sebold,2002
904,8253,316666343,The Lovely Bones: A Novel,10,Alice Sebold,2002
905,8681,316666343,The Lovely Bones: A Novel,0,Alice Sebold,2002
910,9856,316666343,The Lovely Bones: A Novel,0,Alice Sebold,2002
916,11676,316666343,The Lovely Bones: A Novel,5,Alice Sebold,2002
920,277427,316666343,The Lovely Bones: A Novel,0,Alice Sebold,2002
929,243,316776963,Me Talk Pretty One Day,9,David Sedaris,2001
930,254,316776963,Me Talk Pretty One Day,0,David Sedaris,2001
931,638,316776963,Me Talk Pretty One Day,10,David Sedaris,2001
934,2766,316776963,Me Talk Pretty One Day,0,David Sedaris,2001
937,6563,316776963,Me Talk Pretty One Day,0,David Sedaris,2001
938,6575,316776963,Me Talk Pretty One Day,8,David Sedaris,2001
939,7125,316776963,Me Talk Pretty One Day,0,David Sedaris,2001
940,10314,316776963,Me Talk Pretty One Day,7,David Sedaris,2001
942,11676,316776963,Me Talk Pretty One Day,8,David Sedaris,2001
943,277427,316776963,Me Talk Pretty One Day,8,David Sedaris,2001
1001,243,375727345,House of Sand and Fog,0,Andre Dubus III,2000
1002,254,375727345,House of Sand and Fog,0,Andre Dubus III,2000
1006,5582,375727345,House of Sand and Fog,0,Andre Dubus III,2000
1008,6251,375727345,House of Sand and Fog,6,Andre Dubus III,2000
1009,6575,375727345,House of Sand and Fog,0,Andre Dubus III,2000
1012,7125,375727345,House of Sand and Fog,7,Andre Dubus III,2000
1013,7346,375727345,House of Sand and Fog,0,Andre Dubus III,2000
1014,8245,375727345,House of Sand and Fog,0,Andre Dubus III,2000
1015,8681,375727345,House of Sand and Fog,0,Andre Dubus III,2000
1017,9747,375727345,House of Sand and Fog,0,Andre Dubus III,2000
1018,10447,375727345,House of Sand and Fog,0,Andre Dubus III,2000
1021,11676,375727345,House of Sand and Fog,7,Andre Dubus III,2000
1051,243,385497466,The Brethren,0,JOHN GRISHAM,2000
1055,8362,385497466,The Brethren,0,JOHN GRISHAM,2000
1056,8487,385497466,The Brethren,0,JOHN GRISHAM,2000
1058,11676,385497466,The Brethren,0,JOHN GRISHAM,2000
1110,243,440224764,The Partner,0,John Grisham,1998
1116,6251,440224764,The Partner,0,John Grisham,1998
1117,8245,440224764,The Partner,8,John Grisham,1998
1118,8284,440224764,The Partner,0,John Grisham,1998
1119,9856,440224764,The Partner,7,John Grisham,1998
1121,11676,440224764,The Partner,0,John Grisham,1998
1122,277427,440224764,The Partner,7,John Grisham,1998
1145,243,044023722X,A Painted House,7,John Grisham,2001
1147,1435,044023722X,A Painted House,0,John Grisham,2001
1156,7125,044023722X,A Painted House,0,John Grisham,2001
1157,7283,044023722X,A Painted House,10,John Grisham,2001
1158,8066,044023722X,A Painted House,7,John Grisham,2001
1159,9856,044023722X,A Painted House,0,John Grisham,2001
1161,10447,044023722X,A Painted House,0,John Grisham,2001
1165,11676,044023722X,A Painted House,8,John Grisham,2001
1169,278418,044023722X,A Painted House,0,John Grisham,2001
1238,243,452282152,Girl with a Pearl Earring,0,Tracy Chevalier,2001
1239,254,452282152,Girl with a Pearl Earring,0,Tracy Chevalier,2001
1244,2977,452282152,Girl with a Pearl Earring,7,Tracy Chevalier,2001
1248,6575,452282152,Girl with a Pearl Earring,6,Tracy Chevalier,2001
1249,7915,452282152,Girl with a Pearl Earring,9,Tracy Chevalier,2001
1250,8066,452282152,Girl with a Pearl Earring,0,Tracy Chevalier,2001
1251,8245,452282152,Girl with a Pearl Earring,10,Tracy Chevalier,2001
1252,8681,452282152,Girl with a Pearl Earring,0,Tracy Chevalier,2001
1255,10447,452282152,Girl with a Pearl Earring,7,Tracy Chevalier,2001
1256,11676,452282152,Girl with a Pearl Earring,0,Tracy Chevalier,2001
1262,243,515130389,Carolina Moon,0,Nora Roberts,2001
1263,882,515130389,Carolina Moon,0,Nora Roberts,2001
1265,6575,515130389,Carolina Moon,0,Nora Roberts,2001
1266,7125,515130389,Carolina Moon,0,Nora Roberts,2001
1267,7569,515130389,Carolina Moon,8,Nora Roberts,2001
1268,8067,515130389,Carolina Moon,0,Nora Roberts,2001
1269,11676,515130389,Carolina Moon,0,Nora Roberts,2001
1271,278418,515130389,Carolina Moon,8,Nora Roberts,2001
1350,3363,60987103,Wicked: The Life and Times of the Wicked Witch of the West,0,Gregory Maguire,1996
1351,6242,60987103,Wicked: The Life and Times of the Wicked Witch of the West,7,Gregory Maguire,1996
1352,6251,60987103,Wicked: The Life and Times of the Wicked Witch of the West,0,Gregory Maguire,1996
1353,6543,60987103,Wicked: The Life and Times of the Wicked Witch of the West,10,Gregory Maguire,1996
1354,6563,60987103,Wicked: The Life and Times of the Wicked Witch of the West,8,Gregory Maguire,1996
1355,6575,60987103,Wicked: The Life and Times of the Wicked Witch of the West,9,Gregory Maguire,1996
1356,7283,60987103,Wicked: The Life and Times of the Wicked Witch of the West,9,Gregory Maguire,1996
1357,7346,60987103,Wicked: The Life and Times of the Wicked Witch of the West,7,Gregory Maguire,1996
1359,8454,60987103,Wicked: The Life and Times of the Wicked Witch of the West,10,Gregory Maguire,1996
1360,8681,60987103,Wicked: The Life and Times of the Wicked Witch of the West,0,Gregory Maguire,1996
1362,11676,60987103,Wicked: The Life and Times of the Wicked Witch of the West,9,Gregory Maguire,1996
1364,2110,151008116,Life of Pi,5,Yann Martel,2002
1367,6543,151008116,Life of Pi,0,Yann Martel,2002
1368,7158,151008116,Life of Pi,0,Yann Martel,2002
1370,8362,151008116,Life of Pi,0,Yann Martel,2002
1374,11676,151008116,Life of Pi,6,Yann Martel,2002
1476,254,014028009X,Bridget Jones's Diary,0,Helen Fielding,1999
1477,4017,014028009X,Bridget Jones's Diary,9,Helen Fielding,1999
1479,5582,014028009X,Bridget Jones's Diary,10,Helen Fielding,1999
1480,6543,014028009X,Bridget Jones's Diary,0,Helen Fielding,1999
1481,6575,014028009X,Bridget Jones's Diary,4,Helen Fielding,1999
1482,7283,014028009X,Bridget Jones's Diary,0,Helen Fielding,1999
1483,8067,014028009X,Bridget Jones's Diary,5,Helen Fielding,1999
1485,8681,014028009X,Bridget Jones's Diary,0,Helen Fielding,1999
1486,11676,014028009X,Bridget Jones's Diary,8,Helen Fielding,1999
1501,254,142001740,The Secret Life of Bees,9,Sue Monk Kidd,2003
1503,507,142001740,The Secret Life of Bees,10,Sue Monk Kidd,2003
1507,2766,142001740,The Secret Life of Bees,0,Sue Monk Kidd,2003
1508,2891,142001740,The Secret Life of Bees,7,Sue Monk Kidd,2003
1509,4017,142001740,The Secret Life of Bees,0,Sue Monk Kidd,2003
1510,5539,142001740,The Secret Life of Bees,8,Sue Monk Kidd,2003
1512,5903,142001740,The Secret Life of Bees,0,Sue Monk Kidd,2003
1514,6543,142001740,The Secret Life of Bees,9,Sue Monk Kidd,2003
1515,6575,142001740,The Secret Life of Bees,8,Sue Monk Kidd,2003
1519,7283,142001740,The Secret Life of Bees,0,Sue Monk Kidd,2003
1521,8066,142001740,The Secret Life of Bees,10,Sue Monk Kidd,2003
1522,8362,142001740,The Secret Life of Bees,0,Sue Monk Kidd,2003
1523,8454,142001740,The Secret Life of Bees,9,Sue Monk Kidd,2003
1524,8681,142001740,The Secret Life of Bees,9,Sue Monk Kidd,2003
1526,10314,142001740,The Secret Life of Bees,0,Sue Monk Kidd,2003
1529,11676,142001740,The Secret Life of Bees,0,Sue Monk Kidd,2003
1531,277427,142001740,The Secret Life of Bees,0,Sue Monk Kidd,2003
1562,254,316569321,White Oleander : A Novel,0,Janet Fitch,1999
1564,2977,316569321,White Oleander : A Novel,7,Janet Fitch,1999
1566,3363,316569321,White Oleander : A Novel,0,Janet Fitch,1999
1567,5903,316569321,White Oleander : A Novel,0,Janet Fitch,1999
1569,6251,316569321,White Oleander : A Novel,8,Janet Fitch,1999
1570,6323,316569321,White Oleander : A Novel,0,Janet Fitch,1999
1571,6575,316569321,White Oleander : A Novel,0,Janet Fitch,1999
1573,8253,316569321,White Oleander : A Novel,10,Janet Fitch,1999
1574,8454,316569321,White Oleander : A Novel,6,Janet Fitch,1999
1576,11601,316569321,White Oleander : A Novel,0,Janet Fitch,1999
1577,11676,316569321,White Oleander : A Novel,10,Janet Fitch,1999
1578,277427,316569321,White Oleander : A Novel,0,Janet Fitch,1999
1638,254,037582345X,"The Golden Compass (His Dark Materials, Book 1)",9,PHILIP PULLMAN,2002
1685,254,399146431,The Bonesetter's Daughter,9,Amy Tan,2001
1687,4017,399146431,The Bonesetter's Daughter,0,Amy Tan,2001
1688,6575,399146431,The Bonesetter's Daughter,0,Amy Tan,2001
1690,8681,399146431,The Bonesetter's Daughter,0,Amy Tan,2001
1692,11676,399146431,The Bonesetter's Daughter,9,Amy Tan,2001
1713,254,439064864,Harry Potter and the Chamber of Secrets (Book 2),9,J. K. Rowling,1999
1714,1903,439064864,Harry Potter and the Chamber of Secrets (Book 2),0,J. K. Rowling,1999
1715,2033,439064864,Harry Potter and the Chamber of Secrets (Book 2),9,J. K. Rowling,1999
1719,8681,439064864,Harry Potter and the Chamber of Secrets (Book 2),0,J. K. Rowling,1999
1721,11676,439064864,Harry Potter and the Chamber of Secrets (Book 2),10,J. K. Rowling,1999
1723,254,439064872,Harry Potter and the Chamber of Secrets (Book 2),9,J. K. Rowling,2000
1728,6251,439064872,Harry Potter and the Chamber of Secrets (Book 2),0,J. K. Rowling,2000
1729,6563,439064872,Harry Potter and the Chamber of Secrets (Book 2),0,J. K. Rowling,2000
1730,8245,439064872,Harry Potter and the Chamber of Secrets (Book 2),8,J. K. Rowling,2000
1732,9747,439064872,Harry Potter and the Chamber of Secrets (Book 2),0,J. K. Rowling,2000
1733,9856,439064872,Harry Potter and the Chamber of Secrets (Book 2),0,J. K. Rowling,2000
1735,11601,439064872,Harry Potter and the Chamber of Secrets (Book 2),0,J. K. Rowling,2000
1736,11676,439064872,Harry Potter and the Chamber of Secrets (Book 2),8,J. K. Rowling,2000
1737,277427,439064872,Harry Potter and the Chamber of Secrets (Book 2),0,J. K. Rowling,2000
1739,254,439136350,Harry Potter and the Prisoner of Azkaban (Book 3),9,J. K. Rowling,1999
1740,1903,439136350,Harry Potter and the Prisoner of Azkaban (Book 3),0,J. K. Rowling,1999
1741,2033,439136350,Harry Potter and the Prisoner of Azkaban (Book 3),9,J. K. Rowling,1999
1745,6251,439136350,Harry Potter and the Prisoner of Azkaban (Book 3),10,J. K. Rowling,1999
1747,8681,439136350,Harry Potter and the Prisoner of Azkaban (Book 3),0,J. K. Rowling,1999
1749,11676,439136350,Harry Potter and the Prisoner of Azkaban (Book 3),0,J. K. Rowling,1999
1750,254,439136369,Harry Potter and the Prisoner of Azkaban (Book 3),9,J. K. Rowling,2001
1754,6563,439136369,Harry Potter and the Prisoner of Azkaban (Book 3),0,J. K. Rowling,2001
1755,7346,439136369,Harry Potter and the Prisoner of Azkaban (Book 3),0,J. K. Rowling,2001
1757,8362,439136369,Harry Potter and the Prisoner of Azkaban (Book 3),0,J. K. Rowling,2001
1759,9856,439136369,Harry Potter and the Prisoner of Azkaban (Book 3),10,J. K. Rowling,2001
1762,11676,439136369,Harry Potter and the Prisoner of Azkaban (Book 3),9,J. K. Rowling,2001
1764,277427,439136369,Harry Potter and the Prisoner of Azkaban (Book 3),0,J. K. Rowling,2001
1958,254,590353403,Harry Potter and the Sorcerer's Stone (Book 1),9,J. K. Rowling,1998
1959,2033,590353403,Harry Potter and the Sorcerer's Stone (Book 1),9,J. K. Rowling,1998
1963,7346,590353403,Harry Potter and the Sorcerer's Stone (Book 1),10,J. K. Rowling,1998
1964,8253,590353403,Harry Potter and the Sorcerer's Stone (Book 1),8,J. K. Rowling,1998
1965,8681,590353403,Harry Potter and the Sorcerer's Stone (Book 1),8,J. K. Rowling,1998
1966,11676,590353403,Harry Potter and the Sorcerer's Stone (Book 1),8,J. K. Rowling,1998
2012,254,067976402X,Snow Falling on Cedars,0,David Guterson,1995
2013,882,067976402X,Snow Falling on Cedars,10,David Guterson,1995
2015,2766,067976402X,Snow Falling on Cedars,0,David Guterson,1995
2016,2891,067976402X,Snow Falling on Cedars,0,David Guterson,1995
2017,3371,067976402X,Snow Falling on Cedars,0,David Guterson,1995
2019,4017,067976402X,Snow Falling on Cedars,10,David Guterson,1995
2023,6242,067976402X,Snow Falling on Cedars,8,David Guterson,1995
2024,6251,067976402X,Snow Falling on Cedars,8,David Guterson,1995
2027,6575,067976402X,Snow Falling on Cedars,7,David Guterson,1995
2030,7346,067976402X,Snow Falling on Cedars,0,David Guterson,1995
2031,7915,067976402X,Snow Falling on Cedars,0,David Guterson,1995
2032,8253,067976402X,Snow Falling on Cedars,10,David Guterson,1995
2034,8487,067976402X,Snow Falling on Cedars,0,David Guterson,1995
2037,10447,067976402X,Snow Falling on Cedars,0,David Guterson,1995
2040,11601,067976402X,Snow Falling on Cedars,0,David Guterson,1995
2041,11676,067976402X,Snow Falling on Cedars,10,David Guterson,1995
2045,254,679879242,"The Golden Compass (His Dark Materials, Book 1)",8,PHILIP PULLMAN,1996
2106,254,080410753X,The Kitchen God's Wife,0,Amy Tan,1992
2108,1435,080410753X,The Kitchen God's Wife,10,Amy Tan,1992
2109,5903,080410753X,The Kitchen God's Wife,0,Amy Tan,1992
2110,6251,080410753X,The Kitchen God's Wife,0,Amy Tan,1992
2111,6575,080410753X,The Kitchen God's Wife,8,Amy Tan,1992
2113,7346,080410753X,The Kitchen God's Wife,8,Amy Tan,1992
2115,8362,080410753X,The Kitchen God's Wife,9,Amy Tan,1992
2118,9747,080410753X,The Kitchen God's Wife,0,Amy Tan,1992
2119,11601,080410753X,The Kitchen God's Wife,0,Amy Tan,1992
2120,11676,080410753X,The Kitchen God's Wife,8,Amy Tan,1992
2122,277427,080410753X,The Kitchen God's Wife,0,Amy Tan,1992
2268,11676,385416342,The Firm,7,John Grisham,1991
2272,3363,038542471X,The Client,0,John Grisham,1993
2273,8362,038542471X,The Client,0,John Grisham,1993
2275,11601,038542471X,The Client,0,John Grisham,1993
2276,11676,038542471X,The Client,10,John Grisham,1993
2487,1903,044021145X,The Firm,0,John Grisham,1992
2489,2977,044021145X,The Firm,0,John Grisham,1992
2490,3145,044021145X,The Firm,9,John Grisham,1992
2491,5609,044021145X,The Firm,0,John Grisham,1992
2493,6251,044021145X,The Firm,0,John Grisham,1992
2495,8245,044021145X,The Firm,9,John Grisham,1992
2496,8253,044021145X,The Firm,9,John Grisham,1992
2497,8362,044021145X,The Firm,0,John Grisham,1992
2498,8936,044021145X,The Firm,0,John Grisham,1992
2502,11676,044021145X,The Firm,1,John Grisham,1992
2503,278418,044021145X,The Firm,0,John Grisham,1992
2599,2276,805063897,Nickel and Dimed: On (Not) Getting By in America,10,Barbara Ehrenreich,2002
2601,3363,805063897,Nickel and Dimed: On (Not) Getting By in America,0,Barbara Ehrenreich,2002
2603,6251,805063897,Nickel and Dimed: On (Not) Getting By in America,0,Barbara Ehrenreich,2002
2604,6575,805063897,Nickel and Dimed: On (Not) Getting By in America,0,Barbara Ehrenreich,2002
2605,7125,805063897,Nickel and Dimed: On (Not) Getting By in America,0,Barbara Ehrenreich,2002
2606,7346,805063897,Nickel and Dimed: On (Not) Getting By in America,0,Barbara Ehrenreich,2002
2608,8454,805063897,Nickel and Dimed: On (Not) Getting By in America,9,Barbara Ehrenreich,2002
2609,8782,805063897,Nickel and Dimed: On (Not) Getting By in America,0,Barbara Ehrenreich,2002
2613,11676,805063897,Nickel and Dimed: On (Not) Getting By in America,0,Barbara Ehrenreich,2002
2690,882,312195516,The Red Tent (Bestselling Backlist),0,Anita Diamant,1998
2697,5609,312195516,The Red Tent (Bestselling Backlist),0,Anita Diamant,1998
2698,5903,312195516,The Red Tent (Bestselling Backlist),0,Anita Diamant,1998
2699,6242,312195516,The Red Tent (Bestselling Backlist),7,Anita Diamant,1998
2700,6251,312195516,The Red Tent (Bestselling Backlist),0,Anita Diamant,1998
2701,6543,312195516,The Red Tent (Bestselling Backlist),0,Anita Diamant,1998
2702,6575,312195516,The Red Tent (Bestselling Backlist),8,Anita Diamant,1998
2705,7283,312195516,The Red Tent (Bestselling Backlist),0,Anita Diamant,1998
2708,7915,312195516,The Red Tent (Bestselling Backlist),10,Anita Diamant,1998
2709,8245,312195516,The Red Tent (Bestselling Backlist),9,Anita Diamant,1998
2710,8253,312195516,The Red Tent (Bestselling Backlist),0,Anita Diamant,1998
2711,8681,312195516,The Red Tent (Bestselling Backlist),8,Anita Diamant,1998
2712,8734,312195516,The Red Tent (Bestselling Backlist),9,Anita Diamant,1998
2716,9747,312195516,The Red Tent (Bestselling Backlist),0,Anita Diamant,1998
2719,10314,312195516,The Red Tent (Bestselling Backlist),9,Anita Diamant,1998
2722,11676,312195516,The Red Tent (Bestselling Backlist),10,Anita Diamant,1998
2764,3363,312278586,The Nanny Diaries: A Novel,0,Emma McLaughlin,2002
2765,3371,312278586,The Nanny Diaries: A Novel,0,Emma McLaughlin,2002
2768,6251,312278586,The Nanny Diaries: A Novel,0,Emma McLaughlin,2002
2769,6543,312278586,The Nanny Diaries: A Novel,0,Emma McLaughlin,2002
2770,6563,312278586,The Nanny Diaries: A Novel,7,Emma McLaughlin,2002
2771,6575,312278586,The Nanny Diaries: A Novel,0,Emma McLaughlin,2002
2772,7283,312278586,The Nanny Diaries: A Novel,9,Emma McLaughlin,2002
2773,8253,312278586,The Nanny Diaries: A Novel,0,Emma McLaughlin,2002
2775,8362,312278586,The Nanny Diaries: A Novel,0,Emma McLaughlin,2002
2776,9747,312278586,The Nanny Diaries: A Novel,8,Emma McLaughlin,2002
2777,11601,312278586,The Nanny Diaries: A Novel,0,Emma McLaughlin,2002
2778,11676,312278586,The Nanny Diaries: A Novel,6,Emma McLaughlin,2002
2828,1848,156027321,Life of Pi,10,Yann Martel,2003
2830,2891,156027321,Life of Pi,5,Yann Martel,2003
2832,4017,156027321,Life of Pi,0,Yann Martel,2003
2836,7125,156027321,Life of Pi,0,Yann Martel,2003
2837,7283,156027321,Life of Pi,0,Yann Martel,2003
2838,8066,156027321,Life of Pi,9,Yann Martel,2003
2839,8245,156027321,Life of Pi,9,Yann Martel,2003
2841,8454,156027321,Life of Pi,9,Yann Martel,2003
2842,8681,156027321,Life of Pi,0,Yann Martel,2003
2846,10447,156027321,Life of Pi,0,Yann Martel,2003
2850,11676,156027321,Life of Pi,6,Yann Martel,2003
2910,8362,385490992,The Street Lawyer,0,John Grisham,1998
2911,11676,385490992,The Street Lawyer,0,John Grisham,1998
2912,278418,385490992,The Street Lawyer,0,John Grisham,1998
2968,6323,385472951,The Partner,0,John Grisham,1997
2969,8067,385472951,The Partner,10,John Grisham,1997
2970,11676,385472951,The Partner,10,John Grisham,1997
3066,2766,1573225789,The Color of Water: A Black Man's Tribute to His White Mother,0,James McBride,1997
3068,4017,1573225789,The Color of Water: A Black Man's Tribute to His White Mother,9,James McBride,1997
3069,6242,1573225789,The Color of Water: A Black Man's Tribute to His White Mother,7,James McBride,1997
3070,6543,1573225789,The Color of Water: A Black Man's Tribute to His White Mother,9,James McBride,1997
3071,6575,1573225789,The Color of Water: A Black Man's Tribute to His White Mother,0,James McBride,1997
3073,7346,1573225789,The Color of Water: A Black Man's Tribute to His White Mother,0,James McBride,1997
3074,8066,1573225789,The Color of Water: A Black Man's Tribute to His White Mother,0,James McBride,1997
3077,10314,1573225789,The Color of Water: A Black Man's Tribute to His White Mother,8,James McBride,1997
3078,11601,1573225789,The Color of Water: A Black Man's Tribute to His White Mother,10,James McBride,1997
3079,11676,1573225789,The Color of Water: A Black Man's Tribute to His White Mother,10,James McBride,1997
3142,507,60934417,Bel Canto: A Novel,0,Ann Patchett,2002
3144,6242,60934417,Bel Canto: A Novel,7,Ann Patchett,2002
3145,6575,60934417,Bel Canto: A Novel,9,Ann Patchett,2002
3147,7283,60934417,Bel Canto: A Novel,10,Ann Patchett,2002
